priorizado,dss,anio,correlacion,ci_lower,ci_upper,p_value,n,rank_abs,top10
razon-mortalidad-materna,gasto-educ-pib,2004,-0.26364198701544983,-0.6605847892521489,0.24850014188587022,0.30656260733055474,17,3,TRUE
razon-mortalidad-materna,uso-internet,2005,-0.595967002749771,-0.7821296651189119,-0.31213254652931305,3.192669853079031e-4,32,1,TRUE
razon-mortalidad-materna,gini,2005,0.5326186219738229,0.02798317328612048,0.8209085055493242,0.04094385395337005,15,2,TRUE
razon-mortalidad-materna,gasto-educ-pib,2005,-0.2714285714285714,-0.6880318027164023,0.2797380815049942,0.3277893068411727,15,3,TRUE
razon-mortalidad-materna,gini,2006,0.5969618112055599,0.12199945636526228,0.8494618500764362,0.018798204867673717,15,1,TRUE
razon-mortalidad-materna,uso-internet,2006,-0.5628380449328657,-0.7619887960049982,-0.26642771309624347,7.981136453881465e-4,32,2,TRUE
razon-mortalidad-materna,gasto-educ-pib,2006,-0.38178692524439867,-0.7839289700502327,0.2460308620950972,0.22070801550440283,12,3,TRUE
razon-mortalidad-materna,gasto-educ-pib,2007,-0.7762110594454872,-0.9153555045014881,-0.4714516060262932,2.489282507136716e-4,17,1,TRUE
razon-mortalidad-materna,uso-internet,2007,-0.5420449904930077,-0.7491476801012437,-0.23840662036317328,0.0013529779170590728,32,2,TRUE
razon-mortalidad-materna,gini,2007,0.507881689545301,-0.0931911757899286,0.837638101570332,0.09184579185725575,12,3,TRUE
razon-mortalidad-materna,gasto-educ-pib,2008,-0.5798382732396813,-0.8354228096906643,-0.11805969606664779,0.018555296399772953,16,1,TRUE
razon-mortalidad-materna,uso-internet,2008,-0.515354314106282,-0.7324330352122616,-0.20316381289048946,0.0025399867561083866,32,2,TRUE
razon-mortalidad-materna,gini,2008,0.35022111389105814,-0.22153188234428567,0.7427824472464731,0.2196040169027136,14,3,TRUE
razon-mortalidad-materna,uso-internet,2009,-0.5066844919786097,-0.7240492662082212,-0.19777270860504872,0.002621109913778903,33,1,TRUE
razon-mortalidad-materna,gasto-educ-pib,2009,-0.4607843137254903,-0.7707361641392918,0.025519931530390855,0.06267762211132838,17,2,TRUE
razon-mortalidad-materna,gini,2009,0.2428571428571428,-0.3076930119399168,0.6715776514172125,0.38312834183934175,15,3,TRUE
razon-mortalidad-materna,gini,2010,0.5283667151868546,-0.031918978288996445,0.8359831212089675,0.06342311074053099,13,1,TRUE
razon-mortalidad-materna,uso-internet,2010,-0.4967386128384523,-0.7176645389555576,-0.18496780160654805,0.0032761971683476668,33,2,TRUE
razon-mortalidad-materna,gasto-educ-pib,2010,-0.34268320009921144,-0.6554740634417364,0.07046051899092785,0.10116142063652664,24,3,TRUE
razon-mortalidad-materna,uso-internet,2011,-0.49498496178082,-0.7165349229970293,-0.1827209736880477,0.00340531159120977,33,1,TRUE
razon-mortalidad-materna,gasto-educ-pib,2011,-0.4448838902404745,-0.724272060432417,-0.04001277504571784,0.03341048691714956,23,2,TRUE
razon-mortalidad-materna,gini,2011,0.3278329816570155,-0.24544864674110697,0.7312276164685987,0.2525179894868294,14,3,TRUE
razon-mortalidad-materna,uso-internet,2012,-0.4360324240175581,-0.6778722043123208,-0.10904061148278181,0.011193187050858512,33,1,TRUE
razon-mortalidad-materna,gasto-educ-pib,2012,-0.1543813909076397,-0.5250835482004358,0.2655604633086556,0.47135733731611695,24,2,TRUE
razon-mortalidad-materna,gini,2012,0.05903408372690013,-0.4673703725643119,0.5545346798019765,0.8344610002861973,15,3,TRUE
razon-mortalidad-materna,uso-internet,2013,-0.5279560125374768,-0.7403574065307045,-0.21970311040297508,0.0018986633477601116,32,1,TRUE
razon-mortalidad-materna,gini,2013,0.27912087912087913,-0.29518233778568775,0.7052605154538321,0.33384507719455425,14,2,TRUE
razon-mortalidad-materna,gasto-educ-pib,2013,-0.16313270447861494,-0.517772558623392,0.23935036069702695,0.42587934458114207,26,3,TRUE
razon-mortalidad-materna,uso-internet,2014,-0.5826916416712462,-0.7741052997954188,-0.29365868567211223,4.663586900412155e-4,32,1,TRUE
razon-mortalidad-materna,gasto-educ-pib,2014,-0.30576847989985523,-0.5955842705158938,0.05448042961915235,0.09436223766913876,31,2,TRUE
razon-mortalidad-materna,gini,2014,0.13823529411764704,-0.38377581283678114,0.5932927636062681,0.6096659407501828,16,3,TRUE
razon-mortalidad-materna,uso-internet,2015,-0.5824317771212973,-0.773947607022427,-0.2932992024892493,4.697547162488628e-4,32,1,TRUE
razon-mortalidad-materna,gasto-educ-pib,2015,-0.2138861592677332,-0.5235393549826475,0.14567870500822658,0.23981542393503802,32,2,TRUE
razon-mortalidad-materna,gini,2015,0.046767582069862014,-0.5175625241225548,0.5827442984713403,0.879412982328504,13,3,TRUE
razon-mortalidad-materna,uso-internet,2016,-0.5406479280728416,-0.7429792155865472,-0.24777820784607996,9.632002034223192e-4,34,1,TRUE
razon-mortalidad-materna,gini,2016,0.28239510829484576,-0.26875409335514566,0.6942356292805562,0.30783356127813,15,2,TRUE
razon-mortalidad-materna,gasto-educ-pib,2016,-0.18390804971624453,-0.505323647196035,0.18231923688061472,0.32199885124010763,31,3,TRUE
razon-mortalidad-materna,uso-internet,2017,-0.5836326278508172,-0.7698586800658976,-0.30582030636243496,2.90987018087167e-4,34,1,TRUE
razon-mortalidad-materna,gini,2017,0.11661173173034779,-0.44127867803306553,0.6094883441200128,0.6913671085272487,14,2,TRUE
razon-mortalidad-materna,gasto-educ-pib,2017,-0.016683472993124036,-0.36326998579303044,0.3339591875657229,0.9277887544910397,32,3,TRUE
razon-mortalidad-materna,uso-internet,2018,-0.5412340655545527,-0.7640952753827515,-0.20295824237921026,0.003552953565969517,27,1,TRUE
razon-mortalidad-materna,gini,2018,0.19176430878137143,-0.3182186902008,0.6156690698246392,0.4609246783150609,17,2,TRUE
